Fecha,Tasas de interés - Rendimiento del Bono del gobierno peruano a 10 años (en S/)
04Jul07,5.94
05Jul07,5.95
06Jul07,6.00
09Jul07,6.03
10Jul07,6.06
11Jul07,6.08
12Jul07,6.10
13Jul07,6.12
16Jul07,6.12
17Jul07,6.12
18Jul07,6.16
19Jul07,6.14
20Jul07,6.17
23Jul07,6.17
24Jul07,6.21
25Jul07,6.27
26Jul07,6.29
27Jul07,6.27
30Jul07,6.36
31Jul07,6.30
01Ago07,6.29
02Ago07,6.29
03Ago07,6.29
06Ago07,6.30
07Ago07,6.31
08Ago07,6.33
09Ago07,6.30
10Ago07,6.35
13Ago07,6.33
14Ago07,6.35
15Ago07,6.32
16Ago07,6.37
17Ago07,6.52
20Ago07,6.56
21Ago07,6.54
22Ago07,6.61
23Ago07,6.61
24Ago07,6.64
27Ago07,6.61
28Ago07,6.63
29Ago07,6.61
30Ago07,n.d.
31Ago07,6.59
03Set07,6.53
04Set07,6.52
05Set07,6.52
06Set07,6.52
07Set07,6.53
10Set07,6.49
11Set07,6.45
12Set07,6.36
13Set07,6.33
14Set07,6.36
17Set07,6.35
18Set07,6.27
19Set07,6.26
20Set07,6.26
21Set07,6.25
24Set07,6.28
25Set07,6.26
26Set07,6.27
27Set07,6.27
28Set07,6.25
01Oct07,6.28
02Oct07,6.32
03Oct07,6.32
04Oct07,6.29
05Oct07,6.32
08Oct07,n.d.
09Oct07,6.31
10Oct07,6.31
11Oct07,6.26
12Oct07,6.26
15Oct07,6.30
16Oct07,6.27
17Oct07,6.30
18Oct07,6.29
19Oct07,6.29
22Oct07,6.30
23Oct07,6.31
24Oct07,6.32
25Oct07,6.28
26Oct07,6.26
29Oct07,6.25
30Oct07,6.22
31Oct07,6.19
01Nov07,n.d.
02Nov07,6.14
05Nov07,6.18
06Nov07,6.21
07Nov07,6.17
08Nov07,6.22
09Nov07,6.19
12Nov07,6.19
13Nov07,6.16
14Nov07,6.13
15Nov07,6.16
16Nov07,6.17
19Nov07,6.17
20Nov07,6.17
21Nov07,6.14
22Nov07,6.14
23Nov07,6.18
26Nov07,6.12
27Nov07,6.18
28Nov07,6.26
29Nov07,6.29
30Nov07,6.26
03Dic07,6.26
04Dic07,6.26
05Dic07,6.23
06Dic07,6.26
07Dic07,6.23
10Dic07,6.23
11Dic07,6.28
12Dic07,6.29
13Dic07,6.32
14Dic07,6.29
17Dic07,6.31
18Dic07,6.33
19Dic07,6.36
20Dic07,n.d.
21Dic07,n.d.
24Dic07,n.d.
25Dic07,n.d.
26Dic07,6.34
27Dic07,6.35
28Dic07,6.36
31Dic07,6.34
01Ene08,n.d.
02Ene08,6.35
03Ene08,6.35
04Ene08,6.35
07Ene08,6.36
08Ene08,6.35
09Ene08,6.38
10Ene08,6.39
11Ene08,6.45
14Ene08,6.52
15Ene08,6.66
16Ene08,6.68
17Ene08,6.72
18Ene08,6.74
21Ene08,n.d.
22Ene08,6.69
23Ene08,6.69
24Ene08,6.75
25Ene08,6.62
28Ene08,6.56
29Ene08,6.54
30Ene08,6.51
31Ene08,6.40
01Feb08,6.34
04Feb08,6.31
05Feb08,6.33
06Feb08,6.30
07Feb08,6.29
08Feb08,6.30
11Feb08,6.31
12Feb08,6.30
13Feb08,6.30
14Feb08,6.31
15Feb08,6.31
18Feb08,6.33
19Feb08,6.35
20Feb08,6.38
21Feb08,6.40
22Feb08,6.44
25Feb08,6.44
26Feb08,6.46
27Feb08,6.48
28Feb08,6.47
29Feb08,6.47
03Mar08,6.52
04Mar08,6.53
05Mar08,6.53
06Mar08,6.53
07Mar08,n.d.
10Mar08,6.52
11Mar08,6.52
12Mar08,6.50
13Mar08,6.49
14Mar08,6.49
17Mar08,6.49
