fecha,coloc_sector_privado,coloc_corporativos,coloc_arrendamiento,coloc_titulizacion,saldo_corporativos,saldo_plazo_hasta_3a,saldo_plazo_3a_5a,tasa_referencia,rend_soberano_10a_pen,rend_soberano_10a_usd,embig_peru,tasa_pref_corp_90d_mn,tasa_corp_mas360_mn
2013-02-01,293.54285,103.205,18.42785,167.91,13314.803715735,1140.73785,3306.59503451962,4.25,4.15190764118355,3.29463157894737,127.05,4.8751,9.14940540258296
2013-03-01,224.4,120.0,0.0,0.0,13359.0851295588,1108.36778833333,3281.42572954962,4.25,4.14838614187719,3.28557894736842,140.28571,4.6881,9.21137994314266
2013-04-01,197.3668688,50.0,0.0,77.3668688,13224.7916132158,1154.10701546667,3007.63060440538,4.25,4.05634051937754,3.06895454545455,132.54545,4.4482,9.15560271564023
2013-05-01,138.90836,0.0,76.80036,0.0,12186.9842748094,1136.16624326667,2901.71959187,4.25,4.20181818181818,3.25236363636364,133.73913,4.3607,9.04071529297496
2013-06-01,60.0,0.0,0.0,0.0,12061.6357858634,1040.62775093333,2845.78998826923,4.25,5.31946716260051,4.04315789473684,179.8,4.4862,8.9853489227944
2013-07-01,693.96635,0.0,0.0,623.74635,12064.2797320217,1035.75134513333,2952.94822052885,4.25,5.26015228899572,4.29876190476191,175.69565,4.7471,8.80484910504589
2013-08-01,187.52,97.5,50.58,0.0,12141.4821423738,1033.52154853333,3016.38495091346,4.25,5.46271259667266,4.54695238095238,190.54545,4.6554,8.66943327215367
2013-09-01,437.573,0.0,0.0,437.573,11855.9894203592,1039.4393076,2892.47355137154,4.25,5.60047619047619,4.56314285714286,183.38095,4.7181,8.56490763208247
2013-10-01,371.65145,82.8,7.99145,0.0,11898.0041896369,968.845815066667,3101.50645483308,4.25,5.31727272727273,4.27340909090909,172.86957,4.7076,8.54906118892347
2013-11-01,265.4196,110.0,43.4196,112.0,11992.6057189323,1013.85984266667,3077.53968460538,4.0,5.467,4.4478,183.42857,4.5043,8.51866990480899
2013-12-01,575.9648,143.46,0.0,292.5048,11995.4154476574,1051.12454266667,3071.12497869338,4.0,5.6055,4.49425,176.54545,4.4875,8.46225460748768
2014-01-01,30.0,0.0,30.0,0.0,11700.3130084365,793.3395344,3066.99385328028,4.0,5.72,4.45445454545454,176.0,4.4809,8.39783279820295
2014-02-01,327.5632,84.57,0.0,75.5132,11790.4579980896,870.022009333333,3134.22918446262,4.0,6.4255,4.365,182.25,4.7948,8.37410848580069
2014-03-01,28.1,0.0,28.1,0.0,11726.4491539943,854.262208533334,3158.63593862685,4.0,6.16490476190476,4.16752380952381,167.2381,4.9354,8.34926199159022
2014-04-01,319.947,219.947,0.0,0.0,11648.3461440413,872.261224866667,3019.25878156954,4.0,5.951,4.01075,153.54545,5.0225,8.28488301493797
2014-05-01,254.405,0.0,200.0,54.405,11475.4473639688,1069.17009473333,2892.10547481677,4.0,5.64095238095238,3.83219047619048,149.40909,5.0269,8.25593549390221
2014-06-01,298.95,298.95,0.0,0.0,11524.1410231342,1061.46367566667,2846.36015421785,4.0,5.37238095238095,3.78709523809524,145.42857,4.9535,8.29752109735162
2014-07-01,243.722,56.0,50.0,0.0,11498.5503675576,1132.80614233333,2818.53018498708,3.75,5.177,3.73633333333333,146.34783,4.7393,8.28877174921292
2014-08-01,20.0,0.0,20.0,0.0,11451.8813990455,1146.39819913333,2793.79623048689,3.75,5.19790476190476,3.69519047619048,157.28571,4.6087,8.30605360218592
2014-09-01,422.15,422.15,0.0,0.0,11716.7245190746,1190.7174918,2630.28751653396,3.5,5.33545454545455,3.79531818181818,149.68182,4.4861,8.3415644243909
2014-10-01,0.0,0.0,0.0,0.0,11436.4024763789,1170.47721906667,2369.82732808169,3.5,5.35995454545454,3.74259090909091,170.26087,4.4428,8.35015609539825
2014-11-01,93.8,0.0,0.0,0.0,11264.3198217385,1220.47721906667,2149.81732808169,3.5,5.43935,3.654,165.35,4.4378,8.3363985675794
2014-12-01,243.438,116.1,0.0,0.0,11448.2052176196,1289.5334976,2203.45027238678,3.5,5.35971428571429,3.70204761904762,181.91304,4.6632,8.31860821111633
2015-01-01,750.05,561.45,0.0,0.0,12179.415824247,1481.1584812,2252.276712974,3.25,5.2966,3.5399,201.22727,4.4829,8.20330799624513
2015-02-01,290.0,290.0,0.0,0.0,12471.4517853446,1373.0717088,2398.59082127114,3.25,5.2855,3.34735,182.85,4.1728,8.24620644636677
2015-03-01,0.0,0.0,0.0,0.0,12315.0292370864,1321.988318,2387.88815665885,3.25,5.52668181818182,3.41931818181818,184.45455,4.1913,8.210629086703
2015-04-01,463.76865,0.0,0.0,421.17665,12235.2551128275,1313.85043626667,2413.87010842304,3.25,5.53809090909091,3.20913636363636,176.95455,4.3667,8.10086813334164
2015-05-01,533.9,502.3,31.6,0.0,12698.9549459906,1230.08028666667,2698.73188326415,3.25,5.9019,3.41675,165.90476,4.4803,8.10144847599015
2015-06-01,218.4767,153.02,0.0,39.9567,12753.989934606,1228.61323,2883.36595131036,3.25,6.17166666666667,3.68176190476191,176.5,4.1341,8.07126454169475
2015-07-01,633.0,533.0,0.0,0.0,13370.7302277637,1328.07748666667,3029.0218787399,3.25,6.47165,3.7191,186.69565,4.1685,7.9716830509417
2015-08-01,0.0,0.0,0.0,0.0,13350.5628634169,1324.03472,3040.97526973373,3.25,6.66319047619047,3.91719047619048,217.47619,4.483,7.91908792812927
2015-09-01,223.786,151.175,72.611,0.0,13457.0517234928,1394.54118666667,3023.1701497174,3.5,7.23577272727273,4.06622727272727,234.27273,4.9268,7.91020063074947
2015-10-01,0.0,0.0,0.0,0.0,13491.0777280672,1394.62617833333,3039.80371529097,3.5,7.01072727272727,3.864,225.90909,4.7596,7.87004699148263
2015-11-01,0.0,0.0,0.0,0.0,13507.0606854912,1398.34995166667,3014.8635045179,3.5,6.69261904761905,3.95257142857143,218.90476,4.8417,7.87714043536655
2015-12-01,444.41584,363.99419,0.0,68.42165,13833.9695110246,1410.037395,2940.9793735505,3.75,6.70786363636364,4.07954545454545,236.65217,4.9317,7.89924707101221
2016-01-01,3.9905,3.9905,0.0,0.0,13866.0424978752,1369.327465,2955.0495666335,4.0,7.02015,4.238,267.05,4.9884,7.90094495650674
2016-02-01,11.42944,0.0,0.0,11.42944,13856.8886402277,1364.72081333333,2966.774727536,4.25,7.34585714285714,4.0577619047619,282.38095,5.2324,7.92111679006339
